content_index,question_index,question,answer,url
1,14,How create Button in ZIM specific label and scale 70 % of its original size ?,"create Button in ZIM specific label and scale 70 % of its original size , use following code : `` ` javascript const button = new Button ( { label : '' TEST '' } ) .sca ( .7 ) .center ( ) .mov ( 0,150 ) ; `` `",https://zimjs.org/kids/part_variables.html
1,15,"Explain purpose of ` button.on ( `` click '' , ( ) = > { } ) ` event listener in ZIM code provided .","` button.on ( `` click '' , ( ) = > { } ) ` event listener in ZIM code provided used listen click event on button element . When button clicked , associated arrow function executed , which contains logic check TextInput 's value and perform animations on Label based on conditions .",https://zimjs.org/kids/part_variables.html
1,16,What happens when TextInput empty in ZIM code snippet provided ?,"If TextInput empty in ZIM code snippet provided , text `` Enter Number '' set TextInput 's value , and stage updated reflect this change .",https://zimjs.org/kids/part_variables.html
1,17,Describe what occurs when TextInput value matches Label 's text in ZIM code provided .,"When TextInput value matches Label 's text in ZIM code provided , Label element animated scale three times its original size short duration , resets new random number , and TextInput cleared .",https://zimjs.org/kids/part_variables.html
1,18,What animation applied Label when TextInput value match Label 's text in ZIM code snippet ?,"When TextInput value match Label 's text in ZIM code snippet , Label animated skew horizontally 90 degrees short duration .",https://zimjs.org/kids/part_variables.html
1,19,How ZIM code snippet handle user interactions Button element ?,"ZIM code snippet handles user interactions Button element checking TextInput 's value when button clicked . Depending on conditions ( empty input , matching input , or non-matching input ) , different animations and actions triggered on Label and TextInput elements .",https://zimjs.org/kids/part_variables.html
1,20,"In ZIM code provided , what ` S.update ( ) ` function call ?","` S.update ( ) ` function call in ZIM code provided updates stage reflect any changes made elements on stage , ensuring that visual representation date program 's logic .",https://zimjs.org/kids/part_variables.html
1,21,How modify ZIM code snippet add new animation effect when TextInput value matches Label 's text ?,"add new animation effect when TextInput value matches Label 's text in ZIM code snippet , include additional animation properties within ` label.animate ( ) ` method , changing color or rotating Label element .",https://zimjs.org/kids/part_variables.html
2,22,What purpose of ` hitTestCircleRect ` method in ZIM ?,"` hitTestCircleRect ` method in ZIM used test if circle intersecting rectangle . returns ` true ` if circle intersecting rectangle , and ` false ` otherwise . This method commonly used collision detection in interactive applications .",https://zimjs.org/kids/part_variables.html
2,23,How make shape draggable in ZIM ?,"make shape draggable in ZIM , use ` drag ( ) ` method on shape object . This method enables shape moved interactively user on canvas .",https://zimjs.org/kids/part_variables.html
2,24,Write ZIM function that changes color of two shapes based on their collision status .,`` ` javascript function testShapes ( ) { if ( circle.hitTestCircleRect ( rectangle ) ) { rectangle.color = `` red '' ; circle.color = `` red '' ; } else { rectangle.color = `` purple '' ; circle.color = `` pink '' ; } } `` `,https://zimjs.org/kids/part_variables.html
2,25,How capture pressmove events on shapes in ZIM ?,"capture pressmove events on shapes in ZIM , use ` on ( ) ` method event type `` pressmove '' and specify callback function handle event . example : `` ` javascript rectangle.on ( `` pressmove '' , testShapes ) ; circle.on ( `` pressmove '' , testShapes ) ; `` `",https://zimjs.org/kids/part_variables.html
2,26,Write ZIM code create draggable rectangle specific dimensions and position .,"`` ` javascript const rectangle = new Rectangle ( 200 , 200 , `` purple '' ) .loc ( 100 , 100 ) .drag ( ) ; `` `",https://zimjs.org/kids/part_variables.html
2,27,Explain significance of ` loc ( ) ` method in ZIM when positioning shapes .,` loc ( ) ` method in ZIM used set position of shape on canvas specifying x and y coordinates . This method allows place shape specific location relative canvas or other objects .,https://zimjs.org/kids/part_variables.html
2,28,How create circle shape specific radius and color in ZIM ?,"create circle shape specific radius and color in ZIM , use ` Circle ` constructor and specify radius and color parameters . example : `` ` javascript const circle = new Circle ( 100 , `` pink '' ) ; `` `",https://zimjs.org/kids/part_variables.html
2,29,What ` pos ( ) ` method in ZIM when positioning shapes ?,"` pos ( ) ` method in ZIM used set position of shape on canvas more advanced positioning options . allows specify x and y coordinates , well alignment and registration point options precise positioning .",https://zimjs.org/kids/part_variables.html
2,30,How change color of shape in ZIM ?,"change color of shape in ZIM , directly set ` color ` property of shape object desired color value . example : `` ` javascript rectangle.color = `` red '' ; `` `",https://zimjs.org/kids/part_variables.html
2,31,Explain purpose of ` RIGHT ` and ` BOTTOM ` constants in ZIM when positioning shapes .,` RIGHT ` and ` BOTTOM ` constants in ZIM alignment options that used ` pos ( ) ` method position shapes relative specified point . help align shapes right or bottom edges of other objects precise layout control .,https://zimjs.org/kids/part_variables.html
3,32,How create circle on stage using ZIM ?,"create circle on stage using ZIM , use following code : `` ` javascript const circle = new Circle ( 100 , purple ) .center ( ) ; `` `",https://zimjs.org/kids/part_variables.html
3,33,How capture spacebar key press event in ZIM ?,"capture spacebar key press event in ZIM , use following code : `` ` javascript F.on ( `` keydown '' , e= > { if ( e.keyCode == 32 ) { // Your code logic here } } ) ; `` `",https://zimjs.org/kids/part_variables.html
3,34,Write ZIM code snippet that animates circle scale 2 when spacebar key pressed .,"Here code snippet that animates circle scale 2 when spacebar key pressed : `` ` javascript F.on ( `` keydown '' , e= > { if ( e.keyCode == 32 ) { circle.animate ( { props : { scale:2 } , ease : '' backIn '' , time : .5 , rewind : true } ) ; } } ) ; `` `",https://zimjs.org/kids/part_variables.html
3,35,How display label message in ZIM ?,"display label message in ZIM , use following code : `` ` javascript new Label ( `` press spacebar '' ) .pos ( 0,50 , CENTER , BOTTOM ) ; `` `",https://zimjs.org/kids/part_variables.html
3,36,What purpose of ` animate ` method in ZIM ?,` animate ` method in ZIM used create animations changing properties of object time specified easing functions and durations .,https://zimjs.org/kids/part_variables.html
3,37,How center object on stage in ZIM ?,"center object on stage in ZIM , use ` center ( ) ` method on object .",https://zimjs.org/kids/part_variables.html
3,38,What event listener used in ZIM capture keyboard input ?,"In ZIM , ` on ( `` keydown '' , callback ) ` event listener used capture keyboard input .",https://zimjs.org/kids/part_variables.html
3,39,How set position of label in ZIM ?,"set position of label in ZIM using ` pos ( x , y , alignX , alignY ) ` method where ` x ` and ` y ` coordinates and ` alignX ` and ` alignY ` alignment options .",https://zimjs.org/kids/part_variables.html
3,40,Explain purpose of ` rewind ` property in ` animate ` method in ZIM .,` rewind ` property in ` animate ` method in ZIM used specify whether animation play in reverse when completes .,https://zimjs.org/kids/part_variables.html
3,41,How change scale of object in ZIM using animation ?,change scale of object in ZIM using animation specifying ` scale ` property in ` animate ` method along desired scaling factor .,https://zimjs.org/kids/part_variables.html
4,42,What purpose of using variables in ZIM programming ?,"Variables in ZIM programming used store and manage data values that referenced and manipulated throughout program . help in making code more readable , reusable , and efficient assigning names values .",https://zimjs.org/kids/part_variables.html
4,43,How declare constant variable in ZIM ?,"In ZIM , declare constant variable using ` const ` keyword followed variable name and its initial value . Constants used values that changed program execution .",https://zimjs.org/kids/part_variables.html
4,44,"Write ZIM code snippet create rectangle specific width , height , and color using variables .","`` ` javascript const width = 200 ; const height = 150 ; const color = `` blue '' ; const rectangle = new Rectangle ( width , height , color ) .center ( ) ; `` `",https://zimjs.org/kids/part_variables.html
4,45,Explain difference using ` const ` and ` let ` variables in ZIM .,"In ZIM , ` const ` used variables whose values change assigned , ` let ` used variables that their values updated program execution .",https://zimjs.org/kids/part_variables.html
4,46,How change location of rectangle in ZIM using variables ?,"change location of rectangle in ZIM , use ` let ` variables x and y coordinates and update their values reposition rectangle .",https://zimjs.org/kids/part_variables.html
4,47,What ` message.text ` property in ZIM programming ?,` message.text ` property in ZIM programming used display text messages or values on screen . allows communication user showing relevant information program execution .,https://zimjs.org/kids/part_variables.html
4,48,Write ZIM code snippet set x and y coordinates of rectangle using variables .,"`` ` javascript let x = 100 ; let y = 100 ; rectangle.loc ( x , y ) ; `` `",https://zimjs.org/kids/part_variables.html
4,49,How display value of variable in message box in ZIM ?,"display value of variable in message box in ZIM assigning variable ` message.text ` property , which show value on screen .",https://zimjs.org/kids/part_variables.html
4,50,When use variables instead of hardcoding values in ZIM programming ?,"recommended use variables instead of hardcoding values in ZIM programming when need reuse values multiple times , make code more flexible future changes , and improve code readability and maintainability .",https://zimjs.org/kids/part_variables.html
4,51,How variables help in making ZIM code more modular and organized ?,"Variables in ZIM help in making code more modular and organized providing way store and manage data in structured manner . enable easier debugging , updating , and scaling of codebase encapsulating values within named entities .",https://zimjs.org/kids/part_variables.html
4,52,Write ZIM code snippet display value of variable ` x ` in message box .,`` ` javascript message.text = x ; `` `,https://zimjs.org/kids/part_variables.html
5,53,What purpose of MotionController in ZIM ?,"MotionController in ZIM used handle motion-related events objects , following mouse , keyboard interactions , and animating objects based on user input .",https://zimjs.org/kids/part_variables.html
5,54,How make circle follow mouse using ZIM ?,"make circle follow mouse in ZIM , create circle object and use MotionController track mouse movement . Here example code snippet : `` ` javascript const circle = new Circle ( 30 , pink , dark ) .pos ( 100 , 100 ) ; new MotionController ( circle ) ; `` `",https://zimjs.org/kids/part_variables.html
5,55,Provide example of controlling object keyboard input in ZIM .,"control object keyboard input in ZIM creating object and specifying type of input event listen . Here example code snippet control circle keyboard arrows or WASD : `` ` javascript const circle = new Circle ( 30 , blue , dark ) .noMouse ( ) .pos ( 100 , 100 , RIGHT , BOTTOM ) ; new MotionController ( circle , `` keydown '' ) ; `` `",https://zimjs.org/kids/part_variables.html
5,56,How display message in ZIM when user types on keyboard ?,"display message in ZIM when user types on keyboard , create Label object desired text and position on screen . Here example code snippet show message `` CHASE '' : `` ` javascript new Label ( `` CHASE '' ) .alp ( .5 ) .center ( ) .bot ( ) ; `` `",https://zimjs.org/kids/part_variables.html
5,57,What purpose of ` alp ` method in ZIM ?,` alp ` method in ZIM used set alpha ( transparency ) value of object . allows control opacity of object specifying value 0 ( completely transparent ) and 1 ( completely opaque ) .,https://zimjs.org/kids/part_variables.html
5,58,How center object on stage in ZIM ?,"center object on stage in ZIM , use ` center ( ) ` method along ` pos ( ) ` method position object center of stage . This ensures that object horizontally and vertically centered .",https://zimjs.org/kids/part_variables.html
5,59,What ` noMouse ( ) ` method in ZIM ?,"` noMouse ( ) ` method in ZIM used disable mouse interactions object . prevents object responding mouse events hover , click , or drag , allowing control object solely other input methods like keyboard or touch .",https://zimjs.org/kids/part_variables.html
5,60,How position object specific location on stage in ZIM ?,"position object specific location on stage in ZIM , use ` pos ( ) ` method and specify x and y coordinates of desired position . Additionally , provide alignment parameters adjust alignment of object relative specified coordinates .",https://zimjs.org/kids/part_variables.html
5,61,What purpose of ` bottom ( ) ` method in ZIM ?,"` bottom ( ) ` method in ZIM used position object bottom of stage vertically . aligns object bottom edge of stage , ensuring that displayed specified vertical position .",https://zimjs.org/kids/part_variables.html
5,62,How create circle object specific size and color in ZIM ?,"create circle object specific size and color in ZIM , use ` Circle ` class and specify radius of circle well fill and stroke colors . This allows customize appearance of circle according your design requirements .",https://zimjs.org/kids/part_variables.html
6,63,What purpose of ` Triangle ` object in ZIM ?,"` Triangle ` object in ZIM used create and manipulate triangles in canvas . allows users set size , color , position , rotation , and interactivity of triangle on canvas .",https://zimjs.org/kids/part_variables.html
6,64,"How create triangle in ZIM specific properties like size , color , and position ?","create triangle in ZIM specific properties , use following code snippet : `` ` javascript const triangle = new Triangle ( 150 , 150 , 150 , `` red '' ) .rot ( 90 ) .cur ( ) .pos ( 100 , 0 , LEFT , CENTER ) ; `` `",https://zimjs.org/kids/part_variables.html
6,65,Write code snippet that makes triangle move when clicked in ZIM .,"make triangle move when clicked in ZIM , use following code : `` ` javascript triangle.on ( `` click '' , ( ) = > { triangle.mov ( 100 ) ; S.update ( ) ; } ) ; `` `",https://zimjs.org/kids/part_variables.html
6,66,How prevent triangle interactive clicked in ZIM ?,"prevent triangle interactive clicked in ZIM , use ` noMouse ( ) ` method on triangle object . This method disables mouse interaction triangle .",https://zimjs.org/kids/part_variables.html
6,67,What purpose of ` S.update ( ) ` function in ZIM ?,` S.update ( ) ` function in ZIM used update stage making changes objects or elements on canvas . ensures that any modifications reflected on screen .,https://zimjs.org/kids/part_variables.html
6,68,How create draggable object in ZIM ?,"create draggable object in ZIM , use ` drag ( ) ` method on object . This method enables object moved around canvas dragging mouse .",https://zimjs.org/kids/part_variables.html
6,69,Write code snippet that creates draggable square in ZIM .,"Here code snippet that creates draggable square in ZIM : `` ` javascript const square = new Rectangle ( 100 , 100 , `` blue '' ) .center ( ) .drag ( ) ; `` `",https://zimjs.org/kids/part_variables.html
6,70,What purpose of ` on ( ) ` method in ZIM ?,"` on ( ) ` method in ZIM used attach event handlers objects or elements . allows define functions that executed when specific event occurs , click or mouseover .",https://zimjs.org/kids/part_variables.html
6,71,How change color of shape in ZIM dynamically ?,"change color of shape in ZIM dynamically , use ` color ( ) ` method on shape object and pass new color parameter . This update color of shape on canvas .",https://zimjs.org/kids/part_variables.html
6,72,Write code snippet that changes color of circle green when clicked in ZIM .,"Here code snippet that changes color of circle green when clicked in ZIM : `` ` javascript circle.on ( `` click '' , ( ) = > { circle.color ( `` green '' ) ; S.update ( ) ; } ) ; `` `",https://zimjs.org/kids/part_variables.html
7,73,What variable in ZIM ?,"In ZIM , variable container storing data values . Variables used store information that accessed and manipulated throughout program .",https://zimjs.org/kids/part_variables.html
7,74,How declare constant variable in ZIM ?,"declare constant variable in ZIM , use ` const ` keyword followed variable name and its initial value . example : ` const radius = 100 ; `",https://zimjs.org/kids/part_variables.html
7,75,Write ZIM code snippet create Poly shape given radius and number of sides .,"`` ` javascript const radius = 100 ; const sides = 5 ; const poly = new Poly ( radius , sides ) .center ( ) ; `` `",https://zimjs.org/kids/part_variables.html
7,76,How change color of Poly shape purple in ZIM ?,"change color of Poly shape purple in ZIM , set ` color ` property of Poly object desired color value . example : ` poly.color = purple ; `",https://zimjs.org/kids/part_variables.html
7,77,Explain significance of ` center ( ) ` method in ZIM when creating Poly shape .,` center ( ) ` method in ZIM used position Poly shape center of canvas or container . ensures that shape centered based on its dimensions .,https://zimjs.org/kids/part_variables.html
7,78,How test and validate ZIM code changes in real-time ?,test and validate ZIM code changes in real-time running code in ZIM environment or editor that provides live preview functionality . This allows see immediate impact of your code modifications .,https://zimjs.org/kids/part_variables.html
7,79,Write ZIM code snippet create new Label object specific text content .,"`` ` javascript const textContent = `` Hello , ZIM ! `` ; const label = new Label ( textContent ) ; `` `",https://zimjs.org/kids/part_variables.html
7,80,What purpose of ` Label ` object in ZIM ?,` Label ` object in ZIM used display text content on canvas or screen . allows developers create and customize text elements within their ZIM projects .,https://zimjs.org/kids/part_variables.html
7,81,How dynamically update text content of Label object in ZIM ?,"dynamically update text content of Label object in ZIM , modify ` text ` property of Label object . assigning new text value ` text ` property , update displayed text content .",https://zimjs.org/kids/part_variables.html
7,82,Write ZIM code snippet create new Button object specified label and event handler .,"`` ` javascript const buttonText = `` Click Me '' ; const button = new Button ( buttonText ) ; button.on ( `` click '' , ( ) = > { // Event handler code here } ) ; `` `",https://zimjs.org/kids/part_variables.html
8,83,What variable in ZIM ?,"In ZIM , variable container that holds value . store different types of data , numbers , strings , or objects , and allows reference and manipulate that data throughout your program .",https://zimjs.org/kids/part_variables.html
8,84,How create circle in ZIM using variables ?,"create circle in ZIM using variables , use following code snippet : `` ` javascript const circle = new Circle ( 100 , blue , dark ) .center ( ) .drag ( ) ; `` `",https://zimjs.org/kids/part_variables.html
8,85,Write ZIM code snippet create rectangle and triangle and center on stage .,"create rectangle and triangle in ZIM and center on stage , use following code : `` ` javascript const rectangle = new Rectangle ( 120 , 120 , purple , dark ) .center ( ) .drag ( ) ; const triangle = new Triangle ( 80 , 80 , 80 , orange , dark ) .center ( ) .drag ( ) ; `` `",https://zimjs.org/kids/part_variables.html
8,86,How move rectangle in ZIM specific position ?,"move rectangle specific position in ZIM , use ` mov ( ) ` method desired x and y coordinates . example , move rectangle 160 units , use : `` ` javascript rectangle.mov ( 0 , 160 ) ; `` `",https://zimjs.org/kids/part_variables.html
8,87,Create two circles in ZIM represent eyes and position on stage .,"create two circles in ZIM represent eyes and position on stage , use following code snippet : `` ` javascript new Circle ( 20 , black ) .center ( ) .mov ( -60 ) .drag ( ) ; new Circle ( 20 , black ) .center ( ) .mov ( +60 ) .drag ( ) ; `` `",https://zimjs.org/kids/part_variables.html
8,88,How drag object in ZIM ?,"In ZIM , enable dragging object using ` drag ( ) ` method . This allows user click and drag object across stage .",https://zimjs.org/kids/part_variables.html
8,89,Explain purpose of ` center ( ) ` method in ZIM .,` center ( ) ` method in ZIM used position object center of stage . calculates center coordinates based on stage dimensions and moves object that position .,https://zimjs.org/kids/part_variables.html
8,90,What basic shapes available in ZIM drawing ?,"ZIM provides basic shapes circles , rectangles , triangles , and more drawing and creating visual elements on stage .",https://zimjs.org/kids/part_variables.html
8,91,How change color of shape in ZIM ?,"change color of shape in ZIM , specify desired color parameter when creating shape object . example , use colors like `` blue '' , `` purple '' , `` orange '' , or specify custom color values .",https://zimjs.org/kids/part_variables.html
8,92,What method use adjust position of object in ZIM ?,"In ZIM , use ` mov ( ) ` method adjust position of object specifying x and y coordinates move object relative its current position .",https://zimjs.org/kids/part_variables.html
9,93,What array in ZIM ?,array in ZIM data structure that stores collection of elements of data type . allows store multiple values in single variable .,https://zimjs.org/kids/part_variables.html
9,94,How declare array in ZIM ?,"declare array in ZIM using square brackets ` [ ] ` and assigning variable . example : `` ` javascript const colors = [ red , green , blue , orange , yellow , pink ] ; `` `",https://zimjs.org/kids/part_variables.html
9,95,Write ZIM code snippet that creates rectangles of different colors using array and loop .,"`` ` javascript const colors = [ red , green , blue , orange , yellow , pink ] ; const squares = new Container ( ) ; loop ( colors , ( color , ) = > { new Rectangle ( 50 , 50 , color , dark ) .loc ( * 60 , 0 , squares ) ; } ) ; squares.pos ( 0 , 50 , CENTER ) ; `` `",https://zimjs.org/kids/part_variables.html
9,96,How randomly select element array in ZIM ?,randomly select element array in ZIM using ` random ` function . example : `` ` javascript const randomColor = colors [ random ( colors.length ) ] ; `` `,https://zimjs.org/kids/part_variables.html
9,97,What ` series ` function in ZIM ?,` series ` function in ZIM generates series of values based on input array . useful creating sequences of values .,https://zimjs.org/kids/part_variables.html
9,98,Write ZIM code snippet that displays series of colors in grid layout .,"`` ` javascript const colors = [ red , green , blue , orange , yellow , pink ] ; new Tile ( new Rectangle ( 50 , 50 , series ( colors ) , dark ) , 6 , 1 , 10 ) .pos ( 0 , 50 , CENTER , BOTTOM ) ; `` `",https://zimjs.org/kids/part_variables.html
9,99,How iterate array in ZIM using loop ?,iterate array in ZIM using loop using ` loop ` function . takes array and callback function parameters perform action on each element of array .,https://zimjs.org/kids/part_variables.html
9,100,Explain concept of Container in ZIM .,Container in ZIM display object that hold other display objects . allows group multiple objects together and manipulate single entity .,https://zimjs.org/kids/part_variables.html
9,101,How center Tile object in ZIM ?,center Tile object in ZIM using ` center ` method . positions Tile center of stage .,https://zimjs.org/kids/part_variables.html
9,102,Provide example of creating Tile object specific size and position in ZIM .,"`` ` javascript new Tile ( new Rectangle ( 10 , 10 , colors , dark ) , 50 , 30 ) .center ( ) ; `` `",https://zimjs.org/kids/part_variables.html
10,103,What function in ZIM and how define one ?,"In ZIM , function block of code that performs specific task . define function , use ` function ` keyword followed function name and parentheses parameters ( if any ) , curly braces ` { } ` enclose function body . example : `` ` javascript function myFunction ( parameter1 , parameter2 ) { // Function body // Perform tasks here } `` `",https://zimjs.org/kids/part_variables.html
10,104,How call function in ZIM ?,"call function in ZIM , simply write function name followed parentheses ` ( ) ` . example , if function named ` myFunction ` , call like this : ` myFunction ( ) ; ` .",https://zimjs.org/kids/part_variables.html
10,105,Provide example of defining and calling function in ZIM .,"`` ` javascript // Define function say hello function sayHello ( ) { alert ( `` Hello , ZIM ! `` ) ; } // Call function display message sayHello ( ) ; `` `",https://zimjs.org/kids/part_variables.html
10,106,What purpose of parameters in ZIM function ?,Parameters in ZIM function allow pass values function when called . These values used within function perform specific tasks or calculations based on provided input .,https://zimjs.org/kids/part_variables.html
10,107,How pass parameters ZIM function ?,"When calling ZIM function that expects parameters , provide values inside parentheses when calling function . example , if function ` myFunction ` expects two parameters , call like this : ` myFunction ( value1 , value2 ) ; ` .",https://zimjs.org/kids/part_variables.html
10,108,Explain concept of random number generation in ZIM .,"In ZIM , generate random numbers using ` rand ( ) ` function . This function returns random integer within specified range . example , ` rand ( 10 ) ` generate random number 0 and 9 .",https://zimjs.org/kids/part_variables.html
10,109,Write ZIM function that creates circle random position on canvas .,"`` ` javascript function makeCircle ( ) { const x = rand ( 800 ) ; const y = rand ( 600 ) ; new Circle ( 50 , red , dark , 3 ) .loc ( x , y ) ; } `` `",https://zimjs.org/kids/part_variables.html
10,110,How create multiple circles using function defined in previous question ?,"calling ` makeCircle ( ) ` function multiple times , create multiple circles random positions on canvas . example : `` ` javascript makeCircle ( ) ; makeCircle ( ) ; makeCircle ( ) ; `` `",https://zimjs.org/kids/part_variables.html
10,111,Write ZIM function that creates colored box random position on canvas .,"`` ` javascript function makeBox ( color ) { const x = rand ( 800-100 ) ; const y = rand ( 600-100 ) ; new Rectangle ( 100 , 100 , color , dark , 3 ) .loc ( x , y ) ; } `` `",https://zimjs.org/kids/part_variables.html
10,112,How create colored boxes using function defined in previous question different colors each time ?,"passing different colors parameters when calling ` makeBox ( ) ` function , create colored boxes varying colors . example : `` ` javascript makeBox ( yellow ) ; makeBox ( blue ) ; makeBox ( green ) ; makeBox ( pink ) ; `` `",https://zimjs.org/kids/part_variables.html
10,113,Write ZIM function that takes two parameters ( width and height ) and creates rectangle of specified dimensions random position on canvas .,"`` ` javascript function makeRectangle ( width , height ) { const x = rand ( 800 - width ) ; const y = rand ( 600 - height ) ; new Rectangle ( width , height , white , dark , 3 ) .loc ( x , y ) ; } `` `",https://zimjs.org/kids/part_variables.html
11,114,What array in ZIM ?,"array in ZIM data structure that stores collection of elements , which accessed their index . declared using square brackets and hold various types of data .",https://zimjs.org/kids/part_variables.html
11,115,How access and modify values in ZIM array ?,"access and modify values in ZIM array using square brackets index of element want access or modify . example , ` myArray [ 0 ] ` accesses first element in array ` myArray ` .",https://zimjs.org/kids/part_variables.html
11,116,Write ZIM code snippet swap two values in array .,"swap two values in ZIM array , directly assign values desired indexes . example : `` ` javascript const myArray = [ 10 , 20 , 30 ] ; myArray [ 0 ] = 20 ; myArray [ 1 ] = 10 ; `` `",https://zimjs.org/kids/part_variables.html
11,117,How sort array in ZIM ?,"sort array in ZIM , use ` sort ( ) ` method , which arranges elements of array in ascending order . example , ` myArray.sort ( ) ; ` sort elements in ` myArray ` .",https://zimjs.org/kids/part_variables.html
11,118,What purpose of ` reverse ( ) ` method in ZIM arrays ?,` reverse ( ) ` method in ZIM arrays reverses order of elements in array . changes positions of elements last first and vice versa .,https://zimjs.org/kids/part_variables.html
11,119,Write ZIM code snippet reverse elements of array .,"reverse elements of array in ZIM , use ` reverse ( ) ` method . example : `` ` javascript const myArray = [ 1 , 2 , 3 , 4 , 5 ] ; myArray.reverse ( ) ; `` `",https://zimjs.org/kids/part_variables.html
11,120,How shuffle array in ZIM ?,"shuffle array in ZIM , use ` shuffle ( ) ` method provided ZIM . This method randomizes order of elements in array .",https://zimjs.org/kids/part_variables.html
11,121,Write ZIM code snippet shuffle elements of array .,"shuffle elements of array in ZIM , use ` shuffle ( ) ` method . example : `` ` javascript const myArray = [ 1 , 2 , 3 , 4 , 5 ] ; shuffle ( myArray ) ; `` `",https://zimjs.org/kids/part_variables.html
11,122,How create Tile plots in ZIM ?,"create Tile plots in ZIM , first create array of plots and pass Tile constructor along desired parameters rows , columns , spacing , and alignment .",https://zimjs.org/kids/part_variables.html
11,123,Write ZIM code snippet create Tile plots .,"create Tile plots in ZIM , follow these steps : `` ` javascript const plots = [ plot1 , plot2 , plot3 ] ; // Array of plots new Tile ( plots , 2 , plots.length , 20 , 40 , true ) .center ( ) ; // Creating and centering Tile `` `",https://zimjs.org/kids/part_variables.html
11,124,How loop array and perform actions on each element in ZIM ?,"loop array in ZIM using ` loop ( ) ` function , which iterates each element of array and allows perform actions on .",https://zimjs.org/kids/part_variables.html
12,125,What array in ZIM ?,array in ZIM data structure that stores collection of elements of type . used group related values together single variable name .,https://zimjs.org/kids/part_variables.html
12,126,How declare array in ZIM ?,"declare array in ZIM using square brackets ` [ ] ` and assigning variable . example : ` const colors = [ red , green , blue , orange , yellow , pink ] ; `",https://zimjs.org/kids/part_variables.html
12,127,Write code snippet in ZIM access and display first color in colors array .,"`` ` javascript const color = colors [ 0 ] ; const rectangle = new Rectangle ( 300 , 300 , color , dark , 2 ) .center ( ) ; `` `",https://zimjs.org/kids/part_variables.html
12,128,How determine length of array in ZIM ?,determine length of array in ZIM using ` length ` property . example : ` const length = colors.length ; `,https://zimjs.org/kids/part_variables.html
12,129,Write code snippet in ZIM create Stepper numbers ranging 0 length of colors array minus one .,"`` ` javascript const stepper = new Stepper ( { min : 0 , max : length - 1 } ) .sca ( .5 ) .pos ( 0 , 50 , CENTER , BOTTOM ) ; `` `",https://zimjs.org/kids/part_variables.html
12,130,How change color of rectangle based on value selected in Stepper in ZIM ?,"change color of rectangle based on value selected in Stepper listening `` change '' event of Stepper and updating rectangle 's color accordingly . Here example code snippet : `` ` javascript stepper.on ( `` change '' , ( ) = > { rectangle.color = colors [ stepper.currentValue ] ; S.update ( ) ; } ) ; `` `",https://zimjs.org/kids/part_variables.html
